x	interp	deriv	integ
2.42	-0.750755	-0.660641	0.660581
2.43	-0.757323	-0.652986	0.653041
2.44	-0.763815	-0.645415	0.645435
2.45	-0.770231	-0.637754	0.637765
2.46	-0.77657	-0.630068	0.630031
2.47	-0.782832	-0.622274	0.622234
2.48	-0.789015	-0.614338	0.614374
2.49	-0.795119	-0.606476	0.606454
2.5	-0.801144	-0.598459	0.598472
2.51	-0.807088	-0.590387	0.590431
2.52	-0.812952	-0.582394	0.582331
2.53	-0.818735	-0.574138	0.574172
2.54	-0.824435	-0.565955	0.565956
2.55	-0.830054	-0.557743	0.557684
2.56	-0.835589	-0.549273	0.549355
2.57	-0.84104	-0.540964	0.540972
2.58	-0.846408	-0.53257	0.532535
2.59	-0.851691	-0.524055	0.524044
2.6	-0.856889	-0.515509	0.515501
2.61	-0.862001	-0.506908	0.506907
2.62	-0.867027	-0.498259	0.498262
2.63	-0.871966	-0.489557	0.489567
2.64	-0.876818	-0.480813	0.480823
2.65	-0.881582	-0.47199	0.472031
2.66	-0.886258	-0.463226	0.463191
2.67	-0.890846	-0.454307	0.454306
2.68	-0.895344	-0.445346	0.445375
2.69	-0.899753	-0.436407	0.436399
2.7	-0.904072	-0.427424	0.42738
2.71	-0.908301	-0.418297	0.418318
2.72	-0.912438	-0.409189	0.409214
2.73	-0.916485	-0.400147	0.400069
2.74	-0.92044	-0.390821	0.390885
2.75	-0.924302	-0.381668	0.381661
2.76	-0.928073	-0.372406	0.372399
2.77	-0.93175	-0.363107	0.3631
2.78	-0.935335	-0.353767	0.353764
2.79	-0.938825	-0.344325	0.344393
2.8	-0.942222	-0.335034	0.334988
2.81	-0.945525	-0.325539	0.325549
2.82	-0.948733	-0.316108	0.316078
2.83	-0.951847	-0.306628	0.306575
2.84	-0.954865	-0.296981	0.297041
2.85	-0.957787	-0.287448	0.287478
2.86	-0.960614	-0.277927	0.277886
2.87	-0.963345	-0.268244	0.268266
2.88	-0.965979	-0.258598	0.258619
2.89	-0.968517	-0.248965	0.248947
2.9	-0.970958	-0.239243	0.239249
2.91	-0.973302	-0.229562	0.229528
2.92	-0.975549	-0.21981	0.219784
2.93	-0.977698	-0.209997	0.210017
2.94	-0.979749	-0.200202	0.20023
2.95	-0.981702	-0.190396	0.190423
2.96	-0.983557	-0.180615	0.180596
2.97	-0.985314	-0.170743	0.170752
2.98	-0.986972	-0.160914	0.16089
2.99	-0.988532	-0.151002	0.151013
3	-0.989992	-0.141079	0.14112
3.01	-0.991354	-0.131282	0.131213
3.02	-0.992617	-0.121291	0.121293
3.03	-0.99378	-0.111352	0.111361
3.04	-0.994844	-0.101399	0.101418
3.05	-0.995808	-0.0914511	0.0914647
3.06	-0.996673	-0.0814964	0.0815022
3.07	-0.997438	-0.0715631	0.0715315
3.08	-0.998104	-0.061551	0.0615537
3.09	-0.998669	-0.0515327	0.0515698
3.1	-0.999135	-0.041618	0.0415807
3.11	-0.999501	-0.0315952	0.0315874
3.12	-0.999767	-0.0216013	0.021591
3.13	-0.999933	-0.0115997	0.0115924
3.14	-0.999999	-0.00160009	0.00159267
3.15	-0.999965	0.00840001	-0.00840723
3.16	-0.999831	0.0184001	-0.0184063
3.17	-0.999597	0.0283997	-0.0284035
3.18	-0.999263	0.0384009	-0.0383979
3.19	-0.998829	0.0483965	-0.0483884
3.2	-0.998295	0.0584131	-0.0583741
3.21	-0.997661	0.068351	-0.068354
3.22	-0.996928	0.0782828	-0.078327
3.23	-0.996095	0.0883177	-0.0882922
3.24	-0.995162	0.0982462	-0.0982486
3.25	-0.99413	0.108197	-0.108195
3.26	-0.992998	0.118164	-0.118131
3.27	-0.991767	0.128046	-0.128055
3.28	-0.990437	0.137952	-0.137966
3.29	-0.989008	0.147846	-0.147863
3.3	-0.98748	0.157764	-0.157746
3.31	-0.985853	0.167597	-0.167612
3.32	-0.984128	0.177447	-0.177462
3.33	-0.982304	0.187314	-0.187295
3.34	-0.980382	0.197097	-0.197108
3.35	-0.978362	0.206898	-0.206902
3.36	-0.976244	0.21671	-0.216675
3.37	-0.974028	0.22646	-0.226427
3.38	-0.971715	0.236148	-0.236155
3.39	-0.969305	0.245848	-0.245861
3.4	-0.966798	0.25556	-0.255541
3.41	-0.964194	0.26521	-0.265196
3.42	-0.961494	0.274798	-0.274825
3.43	-0.958698	0.284398	-0.284426
3.44	-0.955806	0.294011	-0.293998
3.45	-0.952818	0.303557	-0.303542
3.46	-0.949735	0.313061	-0.313054
3.47	-0.946557	0.322498	-0.322536
3.48	-0.943285	0.331948	-0.331985
3.49	-0.939918	0.341411	-0.341401
3.5	-0.936457	0.350807	-0.350783
3.51	-0.932902	0.360159	-0.36013
3.52	-0.929254	0.369456	-0.369441
