x	res0	res1	res2	res3	func
0.2	0.222703	0.222703	0.222704	0.222703	0.222703
0.201	0.223787	0.223787	0.223788	0.223787	0.223787
0.202	0.22487	0.22487	0.224871	0.22487	0.22487
0.203	0.225953	0.225953	0.225955	0.225953	0.225953
0.204	0.227036	0.227036	0.227037	0.227036	0.227036
0.205	0.228118	0.228118	0.228119	0.228118	0.228118
0.206	0.2292	0.2292	0.229201	0.2292	0.2292
0.207	0.230281	0.230281	0.230282	0.230281	0.230281
0.208	0.231362	0.231362	0.231363	0.231362	0.231362
0.209	0.232442	0.232442	0.232444	0.232442	0.232442
0.21	0.233522	0.233522	0.233524	0.233522	0.233522
0.211	0.234601	0.234601	0.234603	0.234601	0.234601
0.212	0.23568	0.23568	0.235682	0.23568	0.23568
0.213	0.236759	0.236759	0.236761	0.236759	0.236759
0.214	0.237837	0.237837	0.237839	0.237837	0.237837
0.215	0.238915	0.238915	0.238917	0.238915	0.238915
0.216	0.239992	0.239992	0.239994	0.239992	0.239992
0.217	0.241069	0.241069	0.241071	0.241069	0.241069
0.218	0.242145	0.242145	0.242147	0.242145	0.242145
0.219	0.243221	0.243221	0.243223	0.243221	0.243221
0.22	0.244296	0.244296	0.244298	0.244296	0.244296
0.221	0.245371	0.245371	0.245373	0.245371	0.245371
0.222	0.246445	0.246445	0.246447	0.246445	0.246445
0.223	0.247519	0.247519	0.247521	0.247519	0.247519
0.224	0.248592	0.248592	0.248595	0.248592	0.248592
0.225	0.249665	0.249665	0.249668	0.249665	0.249665
0.226	0.250738	0.250738	0.25074	0.250738	0.250738
0.227	0.25181	0.25181	0.251812	0.25181	0.25181
0.228	0.252881	0.252881	0.252884	0.252881	0.252881
0.229	0.253952	0.253952	0.253955	0.253952	0.253952
0.23	0.255023	0.255023	0.255025	0.255023	0.255023
0.231	0.256093	0.256093	0.256095	0.256093	0.256093
0.232	0.257162	0.257162	0.257165	0.257162	0.257162
0.233	0.258231	0.258231	0.258234	0.258231	0.258231
0.234	0.2593	0.2593	0.259303	0.2593	0.2593
0.235	0.260368	0.260368	0.260371	0.260368	0.260368
0.236	0.261435	0.261435	0.261438	0.261435	0.261435
0.237	0.262502	0.262502	0.262505	0.262502	0.262502
0.238	0.263569	0.263569	0.263572	0.263569	0.263569
0.239	0.264635	0.264635	0.264638	0.264635	0.264635
0.24	0.2657	0.2657	0.265704	0.2657	0.2657
0.241	0.266765	0.266765	0.266769	0.266765	0.266765
0.242	0.267829	0.267829	0.267833	0.267829	0.267829
0.243	0.268893	0.268893	0.268897	0.268893	0.268893
0.244	0.269957	0.269957	0.269961	0.269957	0.269957
0.245	0.27102	0.27102	0.271024	0.27102	0.27102
0.246	0.272082	0.272082	0.272086	0.272082	0.272082
0.247	0.273144	0.273144	0.273148	0.273144	0.273144
0.248	0.274205	0.274205	0.274209	0.274205	0.274205
0.249	0.275266	0.275266	0.27527	0.275266	0.275266
0.25	0.276326	0.276326	0.276331	0.276326	0.276326
0.251	0.277386	0.277386	0.27739	0.277386	0.277386
0.252	0.278445	0.278445	0.27845	0.278445	0.278445
0.253	0.279504	0.279504	0.279508	0.279504	0.279504
0.254	0.280562	0.280562	0.280567	0.280562	0.280562
0.255	0.28162	0.28162	0.281624	0.28162	0.28162
0.256	0.282677	0.282677	0.282682	0.282677	0.282677
0.257	0.283733	0.283733	0.283738	0.283733	0.283733
0.258	0.284789	0.284789	0.284794	0.284789	0.284789
0.259	0.285845	0.285845	0.28585	0.285845	0.285845
0.26	0.2869	0.2869	0.286905	0.2869	0.2869
0.261	0.287954	0.287954	0.287959	0.287954	0.287954
0.262	0.289008	0.289008	0.289013	0.289008	0.289008
0.263	0.290061	0.290061	0.290066	0.290061	0.290061
0.264	0.291114	0.291114	0.291119	0.291114	0.291114
0.265	0.292166	0.292166	0.292172	0.292166	0.292166
0.266	0.293218	0.293218	0.293223	0.293218	0.293218
0.267	0.294269	0.294269	0.294274	0.294269	0.294269
0.268	0.295319	0.295319	0.295325	0.295319	0.295319
0.269	0.296369	0.296369	0.296375	0.296369	0.296369
0.27	0.297418	0.297418	0.297424	0.297418	0.297418
0.271	0.298467	0.298467	0.298473	0.298467	0.298467
0.272	0.299515	0.299515	0.299521	0.299515	0.299515
0.273	0.300563	0.300563	0.300569	0.300563	0.300563
0.274	0.30161	0.30161	0.301616	0.30161	0.30161
0.275	0.302656	0.302656	0.302663	0.302656	0.302656
0.276	0.303702	0.303702	0.303709	0.303702	0.303702
0.277	0.304748	0.304748	0.304754	0.304748	0.304748
0.278	0.305792	0.305792	0.305799	0.305792	0.305792
0.279	0.306836	0.306836	0.306844	0.306836	0.306836
0.28	0.30788	0.30788	0.307887	0.30788	0.30788
0.281	0.308923	0.308923	0.30893	0.308923	0.308923
0.282	0.309965	0.309965	0.309973	0.309965	0.309965
0.283	0.311007	0.311007	0.311015	0.311007	0.311007
0.284	0.312049	0.312049	0.312056	0.312049	0.312049
0.285	0.313089	0.313089	0.313097	0.313089	0.313089
0.286	0.314129	0.314129	0.314137	0.314129	0.314129
0.287	0.315169	0.315169	0.315177	0.315169	0.315169
0.288	0.316208	0.316208	0.316216	0.316208	0.316208
0.289	0.317246	0.317246	0.317254	0.317246	0.317246
0.29	0.318283	0.318283	0.318292	0.318283	0.318283
0.291	0.319321	0.319321	0.319329	0.319321	0.319321
0.292	0.320357	0.320357	0.320366	0.320357	0.320357
0.293	0.321393	0.321393	0.321402	0.321393	0.321393
0.294	0.322428	0.322428	0.322437	0.322428	0.322428
0.295	0.323463	0.323463	0.323472	0.323463	0.323463
0.296	0.324497	0.324497	0.324506	0.324497	0.324497
0.297	0.32553	0.32553	0.32554	0.32553	0.32553
0.298	0.326563	0.326563	0.326573	0.326563	0.326563
0.299	0.327595	0.327595	0.327605	0.327595	0.327595
0.3	0.328627	0.328627	0.328637	0.328627	0.328627
0.301	0.329658	0.329658	0.329668	0.329658	0.329658
0.302	0.330688	0.330688	0.330698	0.330688	0.330688
0.303	0.331718	0.331718	0.331728	0.331718	0.331718
0.304	0.332747	0.332747	0.332758	0.332747	0.332747
0.305	0.333775	0.333775	0.333786	0.333775	0.333775
0.306	0.334803	0.334803	0.334814	0.334803	0.334803
0.307	0.33583	0.33583	0.335842	0.33583	0.33583
0.308	0.336857	0.336857	0.336868	0.336857	0.336857
0.309	0.337883	0.337883	0.337894	0.337883	0.337883
0.31	0.338908	0.338908	0.33892	0.338908	0.338908
0.311	0.339933	0.339933	0.339945	0.339933	0.339933
0.312	0.340957	0.340957	0.340969	0.340957	0.340957
0.313	0.34198	0.34198	0.341993	0.34198	0.34198
0.314	0.343003	0.343003	0.343015	0.343003	0.343003
0.315	0.344025	0.344025	0.344038	0.344025	0.344025
0.316	0.345047	0.345047	0.345059	0.345047	0.345047
0.317	0.346067	0.346067	0.34608	0.346067	0.346067
0.318	0.347088	0.347088	0.347101	0.347088	0.347088
0.319	0.348107	0.348107	0.348121	0.348107	0.348107
0.32	0.349126	0.349126	0.34914	0.349126	0.349126
0.321	0.350144	0.350144	0.350158	0.350144	0.350144
0.322	0.351162	0.351162	0.351176	0.351162	0.351162
0.323	0.352179	0.352179	0.352193	0.352179	0.352179
0.324	0.353195	0.353195	0.353209	0.353195	0.353195
0.325	0.354211	0.354211	0.354225	0.354211	0.354211
0.326	0.355226	0.355226	0.35524	0.355226	0.355226
0.327	0.35624	0.35624	0.356255	0.35624	0.35624
0.328	0.357253	0.357253	0.357269	0.357253	0.357253
0.329	0.358266	0.358266	0.358282	0.358266	0.358266
0.33	0.359279	0.359279	0.359294	0.359279	0.359279
0.331	0.36029	0.36029	0.360306	0.36029	0.36029
0.332	0.361301	0.361301	0.361317	0.361301	0.361301
0.333	0.362312	0.362312	0.362328	0.362312	0.362312
0.334	0.363321	0.363321	0.363338	0.363321	0.363321
0.335	0.36433	0.36433	0.364347	0.36433	0.36433
0.336	0.365338	0.365338	0.365355	0.365338	0.365338
0.337	0.366346	0.366346	0.366363	0.366346	0.366346
0.338	0.367353	0.367353	0.36737	0.367353	0.367353
0.339	0.368359	0.368359	0.368377	0.368359	0.368359
0.34	0.369365	0.369365	0.369383	0.369365	0.369365
0.341	0.370369	0.370369	0.370388	0.370369	0.370369
0.342	0.371374	0.371374	0.371392	0.371374	0.371374
0.343	0.372377	0.372377	0.372396	0.372377	0.372377
0.344	0.37338	0.37338	0.373399	0.37338	0.37338
0.345	0.374382	0.374382	0.374401	0.374382	0.374382
0.346	0.375383	0.375383	0.375403	0.375383	0.375383
0.347	0.376384	0.376384	0.376404	0.376384	0.376384
0.348	0.377384	0.377384	0.377404	0.377384	0.377384
0.349	0.378383	0.378383	0.378404	0.378383	0.378383
0.35	0.379382	0.379382	0.379403	0.379382	0.379382
0.351	0.38038	0.38038	0.380401	0.38038	0.38038
0.352	0.381377	0.381377	0.381399	0.381377	0.381377
0.353	0.382374	0.382374	0.382395	0.382374	0.382374
0.354	0.38337	0.38337	0.383391	0.38337	0.38337
0.355	0.384365	0.384365	0.384387	0.384365	0.384365
0.356	0.385359	0.385359	0.385382	0.385359	0.385359
0.357	0.386353	0.386353	0.386376	0.386353	0.386353
0.358	0.387346	0.387346	0.387369	0.387346	0.387346
0.359	0.388338	0.388338	0.388361	0.388338	0.388338
0.36	0.38933	0.38933	0.389353	0.38933	0.38933
0.361	0.390321	0.390321	0.390345	0.390321	0.390321
0.362	0.391311	0.391311	0.391335	0.391311	0.391311
0.363	0.3923	0.3923	0.392325	0.3923	0.3923
0.364	0.393289	0.393289	0.393314	0.393289	0.393289
0.365	0.394277	0.394277	0.394302	0.394277	0.394277
0.366	0.395264	0.395264	0.39529	0.395264	0.395264
0.367	0.396251	0.396251	0.396277	0.396251	0.396251
0.368	0.397237	0.397237	0.397263	0.397237	0.397237
0.369	0.398222	0.398222	0.398248	0.398222	0.398222
0.37	0.399206	0.399206	0.399233	0.399206	0.399206
0.371	0.40019	0.40019	0.400217	0.40019	0.40019
0.372	0.401173	0.401173	0.4012	0.401173	0.401173
0.373	0.402155	0.402155	0.402183	0.402155	0.402155
0.374	0.403136	0.403136	0.403164	0.403136	0.403136
0.375	0.404117	0.404117	0.404145	0.404117	0.404117
0.376	0.405097	0.405097	0.405126	0.405097	0.405097
0.377	0.406076	0.406076	0.406105	0.406076	0.406076
0.378	0.407055	0.407055	0.407084	0.407055	0.407055
0.379	0.408032	0.408032	0.408062	0.408032	0.408032
0.38	0.409009	0.409009	0.40904	0.409009	0.409009
0.381	0.409986	0.409986	0.410016	0.409986	0.409986
0.382	0.410961	0.410961	0.410992	0.410961	0.410961
0.383	0.411936	0.411936	0.411968	0.411936	0.411936
