x	res0	res1	res2	res3	func
1.8	0.339986	0.339986	0.339986	0.339986	0.339986
1.81	0.33417	0.33417	0.33417	0.33417	0.33417
1.82	0.328353	0.328353	0.328353	0.328353	0.328353
1.83	0.322535	0.322535	0.322535	0.322535	0.322535
1.84	0.316717	0.316717	0.316717	0.316717	0.316717
1.85	0.310898	0.310898	0.310898	0.310898	0.310898
1.86	0.30508	0.30508	0.30508	0.30508	0.30508
1.87	0.299262	0.299262	0.299262	0.299262	0.299262
1.88	0.293446	0.293446	0.293446	0.293446	0.293446
1.89	0.287631	0.287631	0.287631	0.287631	0.287631
1.9	0.281819	0.281819	0.281819	0.281819	0.281819
1.91	0.276008	0.276008	0.276008	0.276008	0.276008
1.92	0.270201	0.270201	0.270201	0.270201	0.270201
1.93	0.264397	0.264397	0.264397	0.264397	0.264397
1.94	0.258596	0.258596	0.258596	0.258596	0.258596
1.95	0.252799	0.252799	0.252799	0.252799	0.252799
1.96	0.247007	0.247007	0.247007	0.247007	0.247007
1.97	0.24122	0.24122	0.24122	0.24122	0.24122
1.98	0.235438	0.235438	0.235438	0.235438	0.235438
1.99	0.229661	0.229661	0.229661	0.229661	0.229661
2	0.223891	0.223891	0.223891	0.223891	0.223891
2.01	0.218127	0.218127	0.218127	0.218127	0.218127
2.02	0.21237	0.21237	0.21237	0.21237	0.21237
2.03	0.20662	0.20662	0.20662	0.20662	0.20662
2.04	0.200878	0.200878	0.200878	0.200878	0.200878
2.05	0.195143	0.195143	0.195143	0.195143	0.195143
2.06	0.189418	0.189418	0.189418	0.189418	0.189418
2.07	0.183701	0.183701	0.183701	0.183701	0.183701
2.08	0.177993	0.177993	0.177993	0.177993	0.177993
2.09	0.172295	0.172295	0.172295	0.172295	0.172295
2.1	0.166607	0.166607	0.166607	0.166607	0.166607
2.11	0.160929	0.160929	0.160929	0.160929	0.160929
2.12	0.155262	0.155262	0.155262	0.155262	0.155262
2.13	0.149607	0.149607	0.149607	0.149607	0.149607
2.14	0.143963	0.143963	0.143963	0.143963	0.143963
2.15	0.13833	0.13833	0.13833	0.13833	0.13833
2.16	0.132711	0.132711	0.132711	0.132711	0.132711
2.17	0.127104	0.127104	0.127104	0.127104	0.127104
2.18	0.121509	0.121509	0.121509	0.121509	0.121509
2.19	0.115929	0.115929	0.115929	0.115929	0.115929
2.2	0.110362	0.110362	0.110362	0.110362	0.110362
2.21	0.10481	0.10481	0.10481	0.10481	0.10481
2.22	0.099272	0.099272	0.099272	0.099272	0.099272
2.23	0.0937491	0.0937491	0.0937491	0.0937491	0.0937491
2.24	0.0882416	0.0882416	0.0882416	0.0882416	0.0882416
2.25	0.0827499	0.0827499	0.0827499	0.0827499	0.0827499
2.26	0.0772742	0.0772742	0.0772742	0.0772742	0.0772742
2.27	0.071815	0.071815	0.071815	0.071815	0.071815
2.28	0.0663726	0.0663726	0.0663726	0.0663726	0.0663726
2.29	0.0609474	0.0609474	0.0609474	0.0609474	0.0609474
2.3	0.0555398	0.0555398	0.0555398	0.0555398	0.0555398
2.31	0.0501501	0.0501501	0.0501501	0.0501501	0.0501501
2.32	0.0447786	0.0447786	0.0447786	0.0447787	0.0447786
2.33	0.0394259	0.0394259	0.0394259	0.0394259	0.0394259
2.34	0.0340921	0.0340921	0.0340921	0.0340921	0.0340921
2.35	0.0287776	0.0287776	0.0287776	0.0287776	0.0287776
2.36	0.0234828	0.0234828	0.0234828	0.0234828	0.0234828
2.37	0.0182081	0.0182081	0.0182081	0.0182081	0.0182081
2.38	0.0129538	0.0129538	0.0129538	0.0129538	0.0129538
2.39	0.00772019	0.00772019	0.00772019	0.00772019	0.00772019
2.4	0.00250768	0.00250768	0.00250768	0.00250768	0.00250768
2.41	-0.0026834	-0.0026834	-0.0026834	-0.0026834	-0.0026834
2.42	-0.00785272	-0.00785272	-0.00785272	-0.00785272	-0.00785272
2.43	-0.0129999	-0.0129999	-0.0129999	-0.0129999	-0.0129999
2.44	-0.0181247	-0.0181247	-0.0181247	-0.0181247	-0.0181247
2.45	-0.0232267	-0.0232267	-0.0232267	-0.0232267	-0.0232267
2.46	-0.0283057	-0.0283057	-0.0283057	-0.0283057	-0.0283057
2.47	-0.0333611	-0.0333611	-0.0333611	-0.0333611	-0.0333611
2.48	-0.0383929	-0.0383929	-0.0383929	-0.0383929	-0.0383929
2.49	-0.0434005	-0.0434005	-0.0434005	-0.0434005	-0.0434005
2.5	-0.0483838	-0.0483838	-0.0483838	-0.0483838	-0.0483838
2.51	-0.0533423	-0.0533423	-0.0533423	-0.0533423	-0.0533423
2.52	-0.0582758	-0.0582758	-0.0582758	-0.0582758	-0.0582758
2.53	-0.0631839	-0.0631839	-0.0631839	-0.0631839	-0.0631839
2.54	-0.0680664	-0.0680664	-0.0680664	-0.0680664	-0.0680664
2.55	-0.0729229	-0.0729229	-0.0729229	-0.0729229	-0.0729229
2.56	-0.0777531	-0.0777531	-0.0777531	-0.0777531	-0.0777531
2.57	-0.0825567	-0.0825567	-0.0825567	-0.0825567	-0.0825567
2.58	-0.0873334	-0.0873334	-0.0873334	-0.0873334	-0.0873334
2.59	-0.0920829	-0.0920829	-0.0920829	-0.0920829	-0.0920829
2.6	-0.096805	-0.096805	-0.096805	-0.096805	-0.096805
2.61	-0.101499	-0.101499	-0.101499	-0.101499	-0.101499
2.62	-0.106165	-0.106165	-0.106165	-0.106165	-0.106165
2.63	-0.110803	-0.110803	-0.110803	-0.110803	-0.110803
2.64	-0.115412	-0.115412	-0.115412	-0.115412	-0.115412
2.65	-0.119992	-0.119992	-0.119992	-0.119992	-0.119992
2.66	-0.124543	-0.124543	-0.124543	-0.124543	-0.124543
2.67	-0.129065	-0.129065	-0.129065	-0.129065	-0.129065
2.68	-0.133557	-0.133557	-0.133557	-0.133557	-0.133557
2.69	-0.138018	-0.138018	-0.138018	-0.138018	-0.138018
2.7	-0.142449	-0.142449	-0.142449	-0.142449	-0.142449
2.71	-0.14685	-0.14685	-0.14685	-0.14685	-0.14685
2.72	-0.15122	-0.15122	-0.15122	-0.15122	-0.15122
2.73	-0.155559	-0.155559	-0.155559	-0.155559	-0.155559
2.74	-0.159866	-0.159866	-0.159866	-0.159866	-0.159866
2.75	-0.164141	-0.164141	-0.164141	-0.164141	-0.164141
2.76	-0.168385	-0.168385	-0.168385	-0.168385	-0.168385
2.77	-0.172597	-0.172597	-0.172597	-0.172597	-0.172597
2.78	-0.176776	-0.176776	-0.176776	-0.176776	-0.176776
2.79	-0.180922	-0.180922	-0.180922	-0.180922	-0.180922
2.8	-0.185036	-0.185036	-0.185036	-0.185036	-0.185036
2.81	-0.189117	-0.189117	-0.189117	-0.189117	-0.189117
2.82	-0.193164	-0.193164	-0.193164	-0.193164	-0.193164
2.83	-0.197177	-0.197177	-0.197177	-0.197177	-0.197177
2.84	-0.201157	-0.201157	-0.201157	-0.201157	-0.201157
2.85	-0.205102	-0.205102	-0.205102	-0.205102	-0.205102
2.86	-0.209014	-0.209014	-0.209014	-0.209014	-0.209014
2.87	-0.21289	-0.21289	-0.21289	-0.21289	-0.21289
2.88	-0.216733	-0.216733	-0.216733	-0.216733	-0.216733
2.89	-0.22054	-0.22054	-0.22054	-0.22054	-0.22054
2.9	-0.224312	-0.224312	-0.224312	-0.224312	-0.224312
2.91	-0.228048	-0.228048	-0.228048	-0.228048	-0.228048
2.92	-0.231749	-0.231749	-0.231749	-0.231749	-0.231749
2.93	-0.235414	-0.235414	-0.235414	-0.235414	-0.235414
2.94	-0.239043	-0.239043	-0.239043	-0.239043	-0.239043
2.95	-0.242636	-0.242636	-0.242636	-0.242636	-0.242636
2.96	-0.246193	-0.246193	-0.246193	-0.246193	-0.246193
2.97	-0.249713	-0.249713	-0.249713	-0.249713	-0.249713
2.98	-0.253196	-0.253196	-0.253196	-0.253196	-0.253196
2.99	-0.256643	-0.256643	-0.256643	-0.256643	-0.256643
3	-0.260052	-0.260052	-0.260052	-0.260052	-0.260052
3.01	-0.263424	-0.263424	-0.263424	-0.263424	-0.263424
3.02	-0.266758	-0.266758	-0.266758	-0.266758	-0.266758
3.03	-0.270055	-0.270055	-0.270055	-0.270055	-0.270055
3.04	-0.273314	-0.273314	-0.273314	-0.273314	-0.273314
3.05	-0.276535	-0.276535	-0.276535	-0.276535	-0.276535
3.06	-0.279718	-0.279718	-0.279718	-0.279718	-0.279718
3.07	-0.282862	-0.282862	-0.282862	-0.282862	-0.282862
3.08	-0.285968	-0.285968	-0.285968	-0.285968	-0.285968
3.09	-0.289036	-0.289036	-0.289036	-0.289036	-0.289036
3.1	-0.292064	-0.292064	-0.292064	-0.292064	-0.292064
3.11	-0.295054	-0.295054	-0.295054	-0.295054	-0.295054
3.12	-0.298005	-0.298005	-0.298005	-0.298005	-0.298005
3.13	-0.300916	-0.300916	-0.300916	-0.300916	-0.300916
3.14	-0.303788	-0.303788	-0.303788	-0.303788	-0.303788
3.15	-0.306621	-0.306621	-0.306621	-0.306621	-0.306621
3.16	-0.309414	-0.309414	-0.309414	-0.309414	-0.309414
3.17	-0.312168	-0.312168	-0.312168	-0.312168	-0.312168
3.18	-0.314881	-0.314881	-0.314881	-0.314881	-0.314881
3.19	-0.317555	-0.317555	-0.317555	-0.317555	-0.317555
3.2	-0.320188	-0.320188	-0.320188	-0.320188	-0.320188
3.21	-0.322781	-0.322781	-0.322781	-0.322781	-0.322781
