x	math	gsl	my
-4.7291	-0.0548973	-0.0548973	-0.0548973
-4.7281	-0.0548375	-0.0548375	-0.0548375
-4.7271	-0.0547788	-0.0547788	-0.0547788
-4.7261	-0.054721	-0.054721	-0.054721
-4.7251	-0.0546642	-0.0546642	-0.0546642
-4.7241	-0.0546084	-0.0546084	-0.0546084
-4.7231	-0.0545535	-0.0545535	-0.0545535
-4.7221	-0.0544997	-0.0544997	-0.0544997
-4.7211	-0.0544468	-0.0544468	-0.0544468
-4.7201	-0.0543948	-0.0543948	-0.0543948
-4.7191	-0.0543438	-0.0543438	-0.0543438
-4.7181	-0.0542937	-0.0542937	-0.0542937
-4.7171	-0.0542445	-0.0542445	-0.0542445
-4.7161	-0.0541963	-0.0541963	-0.0541963
-4.7151	-0.054149	-0.054149	-0.054149
-4.7141	-0.0541026	-0.0541026	-0.0541026
-4.7131	-0.0540571	-0.0540571	-0.0540571
-4.7121	-0.0540125	-0.0540125	-0.0540125
-4.7111	-0.0539687	-0.0539687	-0.0539687
-4.7101	-0.0539259	-0.0539259	-0.0539259
-4.7091	-0.0538839	-0.0538839	-0.0538839
-4.7081	-0.0538428	-0.0538428	-0.0538428
-4.7071	-0.0538026	-0.0538026	-0.0538026
-4.7061	-0.0537632	-0.0537632	-0.0537632
-4.7051	-0.0537247	-0.0537247	-0.0537247
-4.7041	-0.053687	-0.053687	-0.053687
-4.7031	-0.0536502	-0.0536502	-0.0536502
-4.7021	-0.0536142	-0.0536142	-0.0536142
-4.7011	-0.053579	-0.053579	-0.053579
-4.7001	-0.0535447	-0.0535447	-0.0535447
-4.6991	-0.0535111	-0.0535111	-0.0535111
-4.6981	-0.0534784	-0.0534784	-0.0534784
-4.6971	-0.0534465	-0.0534465	-0.0534465
-4.6961	-0.0534154	-0.0534154	-0.0534154
-4.6951	-0.0533851	-0.0533851	-0.0533851
-4.6941	-0.0533556	-0.0533556	-0.0533556
-4.6931	-0.0533269	-0.0533269	-0.0533269
-4.6921	-0.053299	-0.053299	-0.053299
-4.6911	-0.0532718	-0.0532718	-0.0532718
-4.6901	-0.0532454	-0.0532454	-0.0532454
-4.6891	-0.0532198	-0.0532198	-0.0532198
-4.6881	-0.053195	-0.053195	-0.053195
-4.6871	-0.0531709	-0.0531709	-0.0531709
-4.6861	-0.0531476	-0.0531476	-0.0531476
-4.6851	-0.053125	-0.053125	-0.053125
-4.6841	-0.0531032	-0.0531032	-0.0531032
-4.6831	-0.0530821	-0.0530821	-0.0530821
-4.6821	-0.0530618	-0.0530618	-0.0530618
-4.6811	-0.0530422	-0.0530422	-0.0530422
-4.6801	-0.0530233	-0.0530233	-0.0530233
-4.6791	-0.0530052	-0.0530052	-0.0530052
-4.6781	-0.0529878	-0.0529878	-0.0529878
-4.6771	-0.0529711	-0.0529711	-0.0529711
-4.6761	-0.0529552	-0.0529552	-0.0529552
-4.6751	-0.0529399	-0.0529399	-0.0529399
-4.6741	-0.0529254	-0.0529254	-0.0529254
-4.6731	-0.0529116	-0.0529116	-0.0529116
-4.6721	-0.0528985	-0.0528985	-0.0528985
-4.6711	-0.0528861	-0.0528861	-0.0528861
-4.6701	-0.0528744	-0.0528744	-0.0528744
-4.6691	-0.0528634	-0.0528634	-0.0528634
-4.6681	-0.052853	-0.052853	-0.052853
-4.6671	-0.0528434	-0.0528434	-0.0528434
-4.6661	-0.0528345	-0.0528345	-0.0528345
-4.6651	-0.0528262	-0.0528262	-0.0528262
-4.6641	-0.0528186	-0.0528186	-0.0528186
-4.6631	-0.0528118	-0.0528118	-0.0528118
-4.6621	-0.0528055	-0.0528055	-0.0528055
-4.6611	-0.0528	-0.0528	-0.0528
-4.6601	-0.0527951	-0.0527951	-0.0527951
-4.6591	-0.0527909	-0.0527909	-0.0527909
-4.6581	-0.0527874	-0.0527874	-0.0527874
-4.6571	-0.0527845	-0.0527845	-0.0527845
-4.6561	-0.0527823	-0.0527823	-0.0527823
-4.6551	-0.0527808	-0.0527808	-0.0527808
-4.6541	-0.0527799	-0.0527799	-0.0527799
-4.6531	-0.0527796	-0.0527796	-0.0527796
-4.6521	-0.0527801	-0.0527801	-0.0527801
-4.6511	-0.0527811	-0.0527811	-0.0527811
-4.6501	-0.0527828	-0.0527828	-0.0527828
-4.6491	-0.0527852	-0.0527852	-0.0527852
-4.6481	-0.0527882	-0.0527882	-0.0527882
-4.6471	-0.0527919	-0.0527919	-0.0527919
-4.6461	-0.0527961	-0.0527961	-0.0527961
-4.6451	-0.0528011	-0.0528011	-0.0528011
-4.6441	-0.0528066	-0.0528066	-0.0528066
-4.6431	-0.0528128	-0.0528128	-0.0528128
-4.6421	-0.0528197	-0.0528197	-0.0528197
-4.6411	-0.0528271	-0.0528271	-0.0528271
-4.6401	-0.0528352	-0.0528352	-0.0528352
-4.6391	-0.0528439	-0.0528439	-0.0528439
-4.6381	-0.0528533	-0.0528533	-0.0528533
-4.6371	-0.0528633	-0.0528633	-0.0528633
-4.6361	-0.0528739	-0.0528739	-0.0528739
-4.6351	-0.0528851	-0.0528851	-0.0528851
-4.6341	-0.0528969	-0.0528969	-0.0528969
-4.6331	-0.0529094	-0.0529094	-0.0529094
-4.6321	-0.0529224	-0.0529224	-0.0529224
-4.6311	-0.0529361	-0.0529361	-0.0529361
-4.6301	-0.0529504	-0.0529504	-0.0529504
-4.6291	-0.0529654	-0.0529654	-0.0529654
-4.6281	-0.0529809	-0.0529809	-0.0529809
-4.6271	-0.0529971	-0.0529971	-0.0529971
-4.6261	-0.0530138	-0.0530138	-0.0530138
-4.6251	-0.0530312	-0.0530312	-0.0530312
-4.6241	-0.0530492	-0.0530492	-0.0530492
-4.6231	-0.0530677	-0.0530677	-0.0530678
-4.6221	-0.0530869	-0.0530869	-0.0530869
-4.6211	-0.0531067	-0.0531067	-0.0531067
-4.6201	-0.0531271	-0.0531271	-0.0531271
-4.6191	-0.0531482	-0.0531482	-0.0531482
-4.6181	-0.0531698	-0.0531698	-0.0531698
-4.6171	-0.053192	-0.053192	-0.053192
-4.6161	-0.0532148	-0.0532148	-0.0532148
-4.6151	-0.0532382	-0.0532382	-0.0532382
-4.6141	-0.0532622	-0.0532622	-0.0532622
-4.6131	-0.0532869	-0.0532869	-0.0532869
-4.6121	-0.0533121	-0.0533121	-0.0533121
-4.6111	-0.0533379	-0.0533379	-0.0533379
-4.6101	-0.0533643	-0.0533643	-0.0533643
-4.6091	-0.0533913	-0.0533913	-0.0533913
-4.6081	-0.0534189	-0.0534189	-0.0534189
-4.6071	-0.0534472	-0.0534472	-0.0534472
-4.6061	-0.053476	-0.053476	-0.053476
-4.6051	-0.0535054	-0.0535054	-0.0535054
-4.6041	-0.0535354	-0.0535354	-0.0535354
-4.6031	-0.053566	-0.053566	-0.053566
-4.6021	-0.0535972	-0.0535972	-0.0535972
-4.6011	-0.0536289	-0.0536289	-0.0536289
-4.6001	-0.0536613	-0.0536613	-0.0536613
-4.5991	-0.0536943	-0.0536943	-0.0536943
-4.5981	-0.0537279	-0.0537279	-0.0537279
-4.5971	-0.053762	-0.053762	-0.053762
-4.5961	-0.0537968	-0.0537968	-0.0537968
-4.5951	-0.0538322	-0.0538322	-0.0538322
-4.5941	-0.0538681	-0.0538681	-0.0538681
-4.5931	-0.0539047	-0.0539047	-0.0539047
-4.5921	-0.0539418	-0.0539418	-0.0539418
-4.5911	-0.0539795	-0.0539795	-0.0539795
-4.5901	-0.0540179	-0.0540179	-0.0540179
-4.5891	-0.0540568	-0.0540568	-0.0540568
-4.5881	-0.0540963	-0.0540963	-0.0540963
-4.5871	-0.0541364	-0.0541364	-0.0541364
-4.5861	-0.0541771	-0.0541771	-0.0541771
-4.5851	-0.0542185	-0.0542185	-0.0542185
-4.5841	-0.0542604	-0.0542604	-0.0542604
-4.5831	-0.0543029	-0.0543029	-0.0543029
-4.5821	-0.054346	-0.054346	-0.054346
-4.5811	-0.0543897	-0.0543897	-0.0543897
-4.5801	-0.054434	-0.054434	-0.054434
-4.5791	-0.0544789	-0.0544789	-0.0544789
-4.5781	-0.0545243	-0.0545243	-0.0545243
-4.5771	-0.0545704	-0.0545704	-0.0545704
-4.5761	-0.0546171	-0.0546171	-0.0546171
-4.5751	-0.0546644	-0.0546644	-0.0546644
-4.5741	-0.0547123	-0.0547123	-0.0547123
-4.5731	-0.0547608	-0.0547608	-0.0547608
-4.5721	-0.0548099	-0.0548099	-0.0548099
-4.5711	-0.0548596	-0.0548596	-0.0548596
-4.5701	-0.0549099	-0.0549099	-0.0549099
-4.5691	-0.0549608	-0.0549608	-0.0549608
-4.5681	-0.0550124	-0.0550124	-0.0550124
-4.5671	-0.0550645	-0.0550645	-0.0550645
-4.5661	-0.0551172	-0.0551172	-0.0551172
-4.5651	-0.0551706	-0.0551706	-0.0551706
-4.5641	-0.0552245	-0.0552245	-0.0552245
-4.5631	-0.0552791	-0.0552791	-0.0552791
-4.5621	-0.0553343	-0.0553343	-0.0553343
-4.5611	-0.05539	-0.05539	-0.05539
-4.5601	-0.0554464	-0.0554464	-0.0554464
-4.5591	-0.0555034	-0.0555034	-0.0555034
-4.5581	-0.0555611	-0.0555611	-0.0555611
-4.5571	-0.0556193	-0.0556193	-0.0556193
-4.5561	-0.0556782	-0.0556782	-0.0556782
-4.5551	-0.0557377	-0.0557377	-0.0557377
-4.5541	-0.0557978	-0.0557978	-0.0557978
-4.5531	-0.0558585	-0.0558585	-0.0558585
-4.5521	-0.0559198	-0.0559198	-0.0559198
-4.5511	-0.0559818	-0.0559818	-0.0559818
-4.5501	-0.0560444	-0.0560444	-0.0560444
