x	math	gsl	my
3.7991	1.54524	1.54524	1.54524
3.8001	1.54644	1.54644	1.54644
3.8011	1.54764	1.54764	1.54764
3.8021	1.54884	1.54884	1.54884
3.8031	1.55004	1.55004	1.55004
3.8041	1.55124	1.55124	1.55123
3.8051	1.55243	1.55243	1.55243
3.8061	1.55363	1.55363	1.55363
3.8071	1.55483	1.55483	1.55483
3.8081	1.55603	1.55603	1.55603
3.8091	1.55723	1.55723	1.55723
3.8101	1.55843	1.55843	1.55843
3.8111	1.55964	1.55964	1.55963
3.8121	1.56084	1.56084	1.56084
3.8131	1.56204	1.56204	1.56204
3.8141	1.56324	1.56324	1.56324
3.8151	1.56444	1.56444	1.56444
3.8161	1.56564	1.56564	1.56564
3.8171	1.56685	1.56685	1.56685
3.8181	1.56805	1.56805	1.56805
3.8191	1.56925	1.56925	1.56925
3.8201	1.57046	1.57046	1.57046
3.8211	1.57166	1.57166	1.57166
3.8221	1.57286	1.57286	1.57286
3.8231	1.57407	1.57407	1.57407
3.8241	1.57527	1.57527	1.57527
3.8251	1.57648	1.57648	1.57648
3.8261	1.57768	1.57768	1.57768
3.8271	1.57889	1.57889	1.57889
3.8281	1.5801	1.5801	1.58009
3.8291	1.5813	1.5813	1.5813
3.8301	1.58251	1.58251	1.58251
3.8311	1.58372	1.58372	1.58371
3.8321	1.58492	1.58492	1.58492
3.8331	1.58613	1.58613	1.58613
3.8341	1.58734	1.58734	1.58734
3.8351	1.58855	1.58855	1.58855
3.8361	1.58975	1.58975	1.58975
3.8371	1.59096	1.59096	1.59096
3.8381	1.59217	1.59217	1.59217
3.8391	1.59338	1.59338	1.59338
3.8401	1.59459	1.59459	1.59459
3.8411	1.5958	1.5958	1.5958
3.8421	1.59701	1.59701	1.59701
3.8431	1.59822	1.59822	1.59822
3.8441	1.59943	1.59943	1.59943
3.8451	1.60064	1.60064	1.60064
3.8461	1.60185	1.60185	1.60185
3.8471	1.60307	1.60307	1.60306
3.8481	1.60428	1.60428	1.60428
3.8491	1.60549	1.60549	1.60549
3.8501	1.6067	1.6067	1.6067
3.8511	1.60791	1.60791	1.60791
3.8521	1.60913	1.60913	1.60913
3.8531	1.61034	1.61034	1.61034
3.8541	1.61156	1.61156	1.61155
3.8551	1.61277	1.61277	1.61277
