x	eval	deriv	integ
5.71	0.840178	0.547077	-0.542311
5.72	0.845559	0.529123	-0.533882
5.73	0.850855	0.530077	-0.5254
5.74	0.856067	0.512323	-0.516865
5.75	0.861192	0.512677	-0.508279
5.76	0.866232	0.495323	-0.499642
5.77	0.871185	0.495277	-0.490955
5.78	0.876051	0.477923	-0.482218
5.79	0.880829	0.477677	-0.473434
5.8	0.88552	0.460523	-0.464602
5.81	0.890121	0.459677	-0.455724
5.82	0.894634	0.442923	-0.4468
5.83	0.899057	0.441677	-0.437832
5.84	0.90339	0.424923	-0.428819
5.85	0.907633	0.423677	-0.419764
5.86	0.911785	0.406723	-0.410667
5.87	0.915846	0.405477	-0.401529
5.88	0.919816	0.388523	-0.39235
5.89	0.923693	0.386877	-0.383133
5.9	0.927478	0.370123	-0.373877
5.91	0.931171	0.368477	-0.364583
5.92	0.93477	0.351323	-0.355254
5.93	0.938276	0.349877	-0.345888
5.94	0.941688	0.332523	-0.336488
5.95	0.945005	0.330877	-0.327055
5.96	0.948229	0.313923	-0.317589
5.97	0.951357	0.311677	-0.308091
5.98	0.95439	0.294923	-0.298562
5.99	0.957328	0.292677	-0.289003
6	0.96017	0.275723	-0.279415
6.01	0.962916	0.273477	-0.2698
6.02	0.965566	0.256523	-0.260157
6.03	0.968119	0.254077	-0.250489
6.04	0.970576	0.237323	-0.240795
6.05	0.972935	0.234477	-0.231078
6.06	0.975197	0.217923	-0.221337
6.07	0.977362	0.215077	-0.211574
6.08	0.979429	0.198323	-0.20179
6.09	0.981398	0.195477	-0.191986
6.1	0.983268	0.178523	-0.182163
6.11	0.985041	0.176077	-0.172321
6.12	0.986715	0.158723	-0.162462
6.13	0.98829	0.156277	-0.152587
6.14	0.989766	0.138923	-0.142697
6.15	0.991144	0.136677	-0.132792
6.16	0.992422	0.118923	-0.122874
6.17	0.993601	0.116877	-0.112944
6.18	0.994681	0.0991226	-0.103002
6.19	0.995661	0.0968774	-0.0930506
6.2	0.996542	0.0793226	-0.0830894
6.21	0.997323	0.0768774	-0.0731201
6.22	0.998004	0.0593226	-0.0631433
6.23	0.998586	0.0570774	-0.0531603
6.24	0.999068	0.0393226	-0.0431719
6.25	0.999449	0.0368774	-0.0331793
6.26	0.999731	0.0195226	-0.0231833
6.27	0.999913	0.0168774	-0.013185
6.28	0.999995	-0.0004774	-0.00318534
6.29	0.999977	-0.0031226	0.00681454
6.3	0.999859	-0.0204774	0.0168139
6.31	0.999641	-0.0231226	0.0268114
6.32	0.999322	-0.0406774	0.0368064
6.33	0.998904	-0.0429226	0.0467975
6.34	0.998386	-0.0606774	0.0567841
6.35	0.997769	-0.0627226	0.0667649
6.36	0.997051	-0.0808774	0.0767391
6.37	0.996234	-0.0825226	0.0867056
6.38	0.995317	-0.100877	0.0966635
6.39	0.994301	-0.102323	0.106612
6.4	0.993185	-0.120877	0.116549
6.41	0.99197	-0.122123	0.126475
6.42	0.990655	-0.140877	0.136388
6.43	0.989242	-0.141723	0.146288
6.44	0.98773	-0.160677	0.156173
6.45	0.986119	-0.161523	0.166042
6.46	0.984409	-0.180477	0.175895
6.47	0.982601	-0.181123	0.18573
6.48	0.980694	-0.200277	0.195546
6.49	0.97869	-0.200523	0.205343
6.5	0.976588	-0.219877	0.21512
6.51	0.974388	-0.220123	0.224875
6.52	0.97209	-0.239477	0.234607
6.53	0.969696	-0.239323	0.244316
6.54	0.967204	-0.259077	0.254001
6.55	0.964616	-0.258523	0.26366
6.56	0.961931	-0.278477	0.273293
6.57	0.95915	-0.277723	0.282898
6.58	0.956273	-0.297677	0.292476
6.59	0.9533	-0.296923	0.302024
6.6	0.950233	-0.316477	0.311541
6.61	0.94707	-0.316123	0.321028
6.62	0.943812	-0.335477	0.330482
6.63	0.94046	-0.334923	0.339904
6.64	0.937014	-0.354277	0.349291
