x	interp	deriv	integ
1.13	0.42666	-0.9065	0.904405
1.14	0.417595	-0.9108	0.908626
1.15	0.408487	-0.9147	0.912756
1.16	0.39934	-0.9188	0.916796
1.17	0.390152	-0.9227	0.920743
1.18	0.380925	-0.9265	0.924598
1.19	0.37166	-0.9302	0.928361
1.2	0.362358	-0.9339	0.932031
1.21	0.353019	-0.9373	0.935608
1.22	0.343646	-0.9408	0.939092
1.23	0.334238	-0.9442	0.942481
1.24	0.324796	-0.9474	0.945776
1.25	0.315322	-0.9505	0.948977
1.26	0.305817	-0.9536	0.952082
1.27	0.296281	-0.9566	0.955093
1.28	0.286715	-0.9594	0.958008
1.29	0.277121	-0.9622	0.960827
1.3	0.267499	-0.9649	0.96355
1.31	0.25785	-0.9675	0.966177
1.32	0.248175	-0.9699	0.968707
1.33	0.238476	-0.9723	0.97114
1.34	0.228753	-0.9746	0.973476
1.35	0.219007	-0.9768	0.975715
1.36	0.209239	-0.9789	0.977857
1.37	0.19945	-0.9809	0.9799
1.38	0.189641	-0.9828	0.981845
1.39	0.179813	-0.9846	0.983693
1.4	0.169967	-0.9863	0.985442
1.41	0.160104	-0.9879	0.987092
1.42	0.150225	-0.9893	0.988644
1.43	0.140332	-0.9908	0.990096
1.44	0.130424	-0.9921	0.99145
1.45	0.120503	-0.9933	0.992705
1.46	0.11057	-0.9944	0.99386
1.47	0.100626	-0.99544	0.994916
1.48	0.0906716	-0.99632	0.995873
1.49	0.0807084	-0.99712	0.99673
1.5	0.0707372	-0.99783	0.997487
1.51	0.0607589	-0.99844	0.998144
1.52	0.0507745	-0.99895	0.998702
1.53	0.040785	-0.99935	0.99916
1.54	0.0307915	-0.99967	0.999518
1.55	0.0207948	-0.99987	0.999775
1.56	0.0107961	-0.999977	0.999933
1.57	0.000796327	-0.999987	0.999991
1.58	-0.00920354	-0.999896	0.999949
1.59	-0.0192025	-0.9997	0.999807
1.6	-0.0291995	-0.99941	0.999565
1.61	-0.0391936	-0.99902	0.999223
1.62	-0.0491838	-0.99853	0.998781
1.63	-0.0591691	-0.99793	0.99824
1.64	-0.0691484	-0.99725	0.997598
1.65	-0.0791209	-0.99645	0.996857
1.66	-0.0890854	-0.99556	0.996016
1.67	-0.099041	-0.9946	0.995075
1.68	-0.108987	-0.9935	0.994035
1.69	-0.118922	-0.9922	0.992895
1.7	-0.128844	-0.9911	0.991657
1.71	-0.138755	-0.9896	0.990319
1.72	-0.148651	-0.9881	0.988882
1.73	-0.158532	-0.9865	0.987346
1.74	-0.168397	-0.9849	0.985711
1.75	-0.178246	-0.9831	0.983978
1.76	-0.188077	-0.9812	0.982146
1.77	-0.197889	-0.9792	0.980216
1.78	-0.207681	-0.9771	0.978189
1.79	-0.217452	-0.975	0.976063
1.8	-0.227202	-0.9727	0.97384
1.81	-0.236929	-0.9703	0.971519
1.82	-0.246632	-0.9679	0.969101
1.83	-0.256311	-0.9653	0.966586
1.84	-0.265964	-0.9626	0.963975
1.85	-0.27559	-0.9599	0.961267
1.86	-0.285189	-0.957	0.958463
1.87	-0.294759	-0.9541	0.955564
1.88	-0.3043	-0.9511	0.952568
1.89	-0.313811	-0.9479	0.949478
1.9	-0.32329	-0.9446	0.946292
1.91	-0.332736	-0.9414	0.943012
1.92	-0.34215	-0.9379	0.939638
1.93	-0.351529	-0.9344	0.936169
1.94	-0.360873	-0.9308	0.932607
1.95	-0.370181	-0.9271	0.928952
1.96	-0.379452	-0.9233	0.925204
1.97	-0.388685	-0.9194	0.921363
1.98	-0.397879	-0.9154	0.91743
1.99	-0.407033	-0.9114	0.913406
2	-0.416147	-0.9072	0.90929
2.01	-0.425219	-0.9029	0.905083
2.02	-0.434248	-0.8986	0.900786
2.03	-0.443234	-0.8942	0.896398
2.04	-0.452176	-0.8897	0.891921
2.05	-0.461073	-0.885	0.887355
2.06	-0.469923	-0.8804	0.8827
2.07	-0.478727	-0.8755	0.877957
2.08	-0.487482	-0.8755	0.873126
2.09	-0.496189	-0.8707	0.868207
2.1	-0.504846	-0.8657	0.863202
2.11	-0.513453	-0.8607	0.858111
2.12	-0.522008	-0.8555	0.852933
2.13	-0.530511	-0.8503	0.847671
2.14	-0.538961	-0.845	0.842323
2.15	-0.547358	-0.8397	0.836892
2.16	-0.555699	-0.8341	0.831377
2.17	-0.563985	-0.8286	0.825778
2.18	-0.572215	-0.823	0.820097
2.19	-0.580387	-0.8172	0.814334
2.2	-0.588501	-0.8114	0.80849
2.21	-0.596557	-0.8056	0.802564
2.22	-0.604552	-0.7995	0.796559
2.23	-0.612488	-0.7936	0.790474
2.24	-0.620362	-0.7874	0.784309
2.25	-0.628174	-0.7812	0.778067
2.26	-0.635923	-0.7749	0.771746
2.27	-0.643608	-0.7685	0.765349
2.28	-0.65123	-0.7622	0.758874
2.29	-0.658786	-0.7556	0.752324
2.3	-0.666276	-0.749	0.745699
2.31	-0.6737	-0.7424	0.738999
2.32	-0.681056	-0.7356	0.732225
2.33	-0.688344	-0.7288	0.725378
2.34	-0.695563	-0.7219	0.718459
2.35	-0.702713	-0.715	0.711467
2.36	-0.709793	-0.708	0.704405
2.37	-0.716801	-0.7008	0.697272
2.38	-0.723738	-0.6937	0.690069
2.39	-0.730602	-0.6864	0.682798
2.4	-0.737394	-0.6792	0.675458
2.41	-0.744111	-0.6717	0.66805
2.42	-0.750755	-0.6644	0.660576
2.43	-0.757323	-0.6568	0.653035
2.44	-0.763815	-0.6492	0.64543
2.45	-0.770231	-0.6416	0.637759
2.46	-0.77657	-0.6339	0.630025
2.47	-0.782832	-0.6262	0.622228
2.48	-0.789015	-0.6183	0.614369
2.49	-0.795119	-0.6104	0.606449
2.5	-0.801144	-0.6025	0.598467
2.51	-0.807088	-0.5944	0.590426
2.52	-0.812952	-0.5864	0.582326
2.53	-0.818735	-0.5783	0.574167
2.54	-0.824435	-0.57	0.565952
2.55	-0.830054	-0.5619	0.557679
2.56	-0.835589	-0.5535	0.549351
2.57	-0.84104	-0.5451	0.540968
2.58	-0.846408	-0.5368	0.53253
2.59	-0.851691	-0.5283	0.52404
2.6	-0.856889	-0.5198	0.515497
2.61	-0.862001	-0.5112	0.506903
2.62	-0.867027	-0.5026	0.498258
2.63	-0.871966	-0.4939	0.489563
2.64	-0.876818	-0.4852	0.480819
2.65	-0.881582	-0.4764	0.472027
2.66	-0.886258	-0.4676	0.463187
2.67	-0.890846	-0.4588	0.454302
2.68	-0.895344	-0.4498	0.445371
2.69	-0.899753	-0.4409	0.436395
2.7	-0.904072	-0.4319	0.427376
2.71	-0.908301	-0.4229	0.418314
2.72	-0.912438	-0.4137	0.409211
2.73	-0.916485	-0.4047	0.400066
2.74	-0.92044	-0.3955	0.390882
2.75	-0.924302	-0.3862	0.381658
2.76	-0.928073	-0.3771	0.372396
2.77	-0.93175	-0.3677	0.363097
2.78	-0.935335	-0.3585	0.353761
2.79	-0.938825	-0.349	0.344391
2.8	-0.942222	-0.3397	0.334985
2.81	-0.945525	-0.3303	0.325547
2.82	-0.948733	-0.3208	0.316075
2.83	-0.951847	-0.3114	0.306572
2.84	-0.954865	-0.3018	0.297039
2.85	-0.957787	-0.2922	0.287476
2.86	-0.960614	-0.2827	0.277884
2.87	-0.963345	-0.2731	0.268264
2.88	-0.965979	-0.2634	0.258617
2.89	-0.968517	-0.2538	0.248945
2.9	-0.970958	-0.2441	0.239247
2.91	-0.973302	-0.2344	0.229526
2.92	-0.975549	-0.2247	0.219782
2.93	-0.977698	-0.2149	0.210016
2.94	-0.979749	-0.2051	0.200228
2.95	-0.981702	-0.1953	0.190421
2.96	-0.983557	-0.1855	0.180595
2.97	-0.985314	-0.1757	0.17075
2.98	-0.986972	-0.1658	0.160889
2.99	-0.988532	-0.156	0.151011
3	-0.989992	-0.146	0.141119
3.01	-0.991354	-0.1362	0.131212
3.02	-0.992617	-0.1263	0.121292
3.03	-0.99378	-0.1163	0.11136
3.04	-0.994844	-0.1064	0.101417
3.05	-0.995808	-0.0964	0.0914639
3.06	-0.996673	-0.0865	0.0815015
3.07	-0.997438	-0.0765	0.071531
3.08	-0.998104	-0.0666	0.0615532
3.09	-0.998669	-0.0565	0.0515694
3.1	-0.999135	-0.0466	0.0415804
