0.0005594	
r	f(e,r)	Exact
0.462	0.290651	0.29107
0.463	0.29099	0.291409
0.464	0.291327	0.291746
0.465	0.291664	0.292083
0.466	0.291999	0.292418
0.467	0.292334	0.292753
0.468	0.292667	0.293087
0.469	0.293	0.293419
0.47	0.293331	0.293751
0.471	0.293662	0.294082
0.472	0.293992	0.294412
0.473	0.29432	0.294741
0.474	0.294648	0.295068
0.475	0.294974	0.295395
0.476	0.2953	0.295721
0.477	0.295625	0.296046
0.478	0.295949	0.296371
0.479	0.296273	0.296694
0.48	0.296595	0.297016
0.481	0.296916	0.297337
0.482	0.297237	0.297658
0.483	0.297556	0.297977
0.484	0.297874	0.298296
0.485	0.298192	0.298613
0.486	0.298508	0.29893
0.487	0.298824	0.299245
0.488	0.299138	0.29956
0.489	0.299452	0.299874
0.49	0.299764	0.300187
0.491	0.300076	0.300499
0.492	0.300387	0.30081
0.493	0.300697	0.30112
0.494	0.301006	0.301429
0.495	0.301315	0.301738
0.496	0.301622	0.302045
0.497	0.301928	0.302351
0.498	0.302234	0.302657
0.499	0.302539	0.302962
0.5	0.302842	0.303265
0.501	0.303145	0.303568
0.502	0.303447	0.30387
0.503	0.303748	0.304171
0.504	0.304048	0.304471
0.505	0.304347	0.30477
0.506	0.304645	0.305069
0.507	0.304942	0.305366
0.508	0.305238	0.305662
0.509	0.305533	0.305958
0.51	0.305828	0.306253
0.511	0.306122	0.306547
0.512	0.306415	0.306839
0.513	0.306707	0.307131
0.514	0.306998	0.307423
0.515	0.307288	0.307713
0.516	0.307578	0.308002
0.517	0.307866	0.308291
0.518	0.308154	0.308578
0.519	0.30844	0.308865
0.52	0.308726	0.309151
0.521	0.309011	0.309436
0.522	0.309295	0.30972
0.523	0.309578	0.310003
0.524	0.30986	0.310285
0.525	0.310141	0.310567
0.526	0.310421	0.310847
0.527	0.310701	0.311127
0.528	0.31098	0.311406
0.529	0.311258	0.311684
0.53	0.311535	0.311961
0.531	0.311811	0.312237
0.532	0.312087	0.312512
0.533	0.312361	0.312787
0.534	0.312635	0.31306
0.535	0.312907	0.313333
0.536	0.313179	0.313605
0.537	0.31345	0.313876
0.538	0.31372	0.314146
0.539	0.313989	0.314416
0.54	0.314258	0.314684
0.541	0.314525	0.314952
0.542	0.314791	0.315218
0.543	0.315057	0.315484
0.544	0.315323	0.31575
0.545	0.315587	0.316014
0.546	0.31585	0.316277
0.547	0.316113	0.31654
0.548	0.316375	0.316801
0.549	0.316636	0.317062
0.55	0.316896	0.317322
0.551	0.317155	0.317582
0.552	0.317413	0.31784
0.553	0.317671	0.318098
0.554	0.317928	0.318354
0.555	0.318183	0.31861
0.556	0.318438	0.318865
0.557	0.318692	0.319119
0.558	0.318945	0.319373
0.559	0.319197	0.319625
0.56	0.319449	0.319877
0.561	0.3197	0.320128
0.562	0.31995	0.320378
0.563	0.3202	0.320627
0.564	0.320448	0.320876
0.565	0.320696	0.321123
0.566	0.320943	0.32137
0.567	0.321189	0.321616
0.568	0.321434	0.321862
0.569	0.321679	0.322106
0.57	0.321922	0.32235
0.571	0.322165	0.322592
0.572	0.322407	0.322834
0.573	0.322648	0.323075
0.574	0.322888	0.323316
0.575	0.323127	0.323555
0.576	0.323366	0.323794
0.577	0.323604	0.324032
0.578	0.323841	0.324269
0.579	0.324077	0.324505
0.58	0.324313	0.324741
0.581	0.324548	0.324976
0.582	0.324782	0.32521
0.583	0.325015	0.325443
0.584	0.325248	0.325675
0.585	0.325479	0.325907
0.586	0.32571	0.326138
0.587	0.32594	0.326368
0.588	0.326169	0.326597
0.589	0.326397	0.326825
0.59	0.326625	0.327053
0.591	0.326852	0.32728
0.592	0.327077	0.327506
0.593	0.327303	0.327731
0.594	0.327527	0.327956
0.595	0.327751	0.32818
0.596	0.327974	0.328403
0.597	0.328197	0.328625
0.598	0.328418	0.328846
0.599	0.328639	0.329067
0.6	0.328859	0.329287
0.601	0.329078	0.329506
0.602	0.329297	0.329724
0.603	0.329514	0.329942
0.604	0.329731	0.330159
0.605	0.329947	0.330375
0.606	0.330162	0.33059
0.607	0.330377	0.330805
0.608	0.33059	0.331019
0.609	0.330803	0.331232
0.61	0.331015	0.331444
0.611	0.331227	0.331656
0.612	0.331438	0.331866
0.613	0.331648	0.332076
0.614	0.331857	0.332286
0.615	0.332066	0.332494
0.616	0.332274	0.332702
0.617	0.332481	0.332909
0.618	0.332687	0.333115
0.619	0.332893	0.333321
0.62	0.333098	0.333526
0.621	0.333302	0.33373
0.622	0.333505	0.333933
0.623	0.333707	0.334135
0.624	0.333909	0.334337
0.625	0.33411	0.334538
0.626	0.33431	0.334739
0.627	0.334532	0.334938
0.628	0.334731	0.335137
0.629	0.334929	0.335335
0.63	0.335127	0.335533
0.631	0.335324	0.33573
0.632	0.33552	0.335925
0.633	0.335715	0.336121
0.634	0.33591	0.336315
0.635	0.336103	0.336509
0.636	0.336296	0.336702
0.637	0.336489	0.336894
0.638	0.33668	0.337086
0.639	0.336871	0.337277
0.64	0.337061	0.337467
0.641	0.33725	0.337657
0.642	0.337439	0.337845
0.643	0.337627	0.338033
0.644	0.337815	0.338221
0.645	0.338001	0.338407
0.646	0.338187	0.338593
0.647	0.338373	0.338778
0.648	0.338557	0.338963
0.649	0.338741	0.339147
0.65	0.338924	0.33933
0.651	0.339107	0.339512
0.652	0.339289	0.339694
0.653	0.339469	0.339875
0.654	0.33965	0.340055
0.655	0.339829	0.340235
0.656	0.340008	0.340413
0.657	0.340186	0.340592
0.658	0.340363	0.340769
0.659	0.34054	0.340946
0.66	0.340716	0.341122
0.661	0.340892	0.341297
0.662	0.341066	0.341472
0.663	0.341241	0.341646
0.664	0.341414	0.341819
0.665	0.341587	0.341992
0.666	0.341759	0.342164
0.667	0.34193	0.342335
0.668	0.342101	0.342506
0.669	0.342271	0.342676
0.67	0.34244	0.342845
0.671	0.342608	0.343013
0.672	0.342776	0.343181
0.673	0.342943	0.343348
0.674	0.34311	0.343515
0.675	0.343275	0.343681
0.676	0.34344	0.343846
0.677	0.343605	0.34401
0.678	0.343769	0.344174
0.679	0.343932	0.344337
0.68	0.344095	0.3445
0.681	0.344257	0.344661
0.682	0.344418	0.344822
0.683	0.344579	0.344983
0.684	0.344738	0.345143
0.685	0.344898	0.345302
0.686	0.345056	0.34546
0.687	0.345214	0.345618
0.688	0.345371	0.345775
0.689	0.345527	0.345932
0.69	0.345683	0.346087
0.691	0.345838	0.346243
0.692	0.345992	0.346397
0.693	0.346146	0.346551
0.694	0.3463	0.346704
0.695	0.346452	0.346857
0.696	0.346604	0.347009
0.697	0.346756	0.34716
0.698	0.346907	0.34731
0.699	0.347057	0.34746
0.7	0.347206	0.34761
0.701	0.347355	0.347758
0.702	0.347503	0.347906
0.703	0.34765	0.348054
0.704	0.347797	0.3482
0.705	0.347943	0.348347
0.706	0.348089	0.348492
0.707	0.348233	0.348637
0.708	0.348377	0.348781
0.709	0.348521	0.348924
0.71	0.348663	0.349067
0.711	0.348806	0.34921
0.712	0.348948	0.349351
0.713	0.349089	0.349492
0.714	0.349229	0.349633
0.715	0.349369	0.349772
0.716	0.349509	0.349911
0.717	0.349647	0.35005
0.718	0.349785	0.350188
0.719	0.349923	0.350325
0.72	0.350059	0.350462
0.721	0.350195	0.350598
0.722	0.350331	0.350733
0.723	0.350465	0.350868
0.724	0.350599	0.351002
0.725	0.350733	0.351135
0.726	0.350865	0.351268
0.727	0.350997	0.3514
0.728	0.351129	0.351532
0.729	0.351261	0.351663
0.73	0.351391	0.351794
0.731	0.351521	0.351923
0.732	0.351651	0.352053
0.733	0.351779	0.352181
0.734	0.351907	0.352309
0.735	0.352035	0.352437
0.736	0.352162	0.352563
0.737	0.352288	0.352689
0.738	0.352414	0.352815
0.739	0.352539	0.35294
0.74	0.352663	0.353064
0.741	0.352787	0.353188
0.742	0.35291	0.353311
0.743	0.353032	0.353434
0.744	0.353154	0.353556
0.745	0.353275	0.353677
0.746	0.353396	0.353798
0.747	0.353517	0.353918
0.748	0.353636	0.354038
0.749	0.353756	0.354157
0.75	0.353874	0.354275
0.751	0.353992	0.354393
0.752	0.354109	0.35451
0.753	0.354226	0.354627
0.754	0.354342	0.354743
0.755	0.354458	0.354858
0.756	0.354573	0.354973
0.757	0.354687	0.355087
0.758	0.354801	0.355201
0.759	0.354914	0.355314
0.76	0.355026	0.355426
0.761	0.355138	0.355538
0.762	0.355249	0.35565
0.763	0.35536	0.355761
0.764	0.355471	0.355871
0.765	0.35558	0.35598
0.766	0.35569	0.35609
0.767	0.355798	0.356198
0.768	0.355906	0.356306
0.769	0.356014	0.356413
0.77	0.356121	0.35652
0.771	0.356227	0.356626
0.772	0.356333	0.356732
0.773	0.356438	0.356837
0.774	0.356542	0.356941
0.775	0.356646	0.357045
0.776	0.35675	0.357149
0.777	0.356852	0.357252
0.778	0.356955	0.357354
0.779	0.357056	0.357456
0.78	0.357157	0.357557
0.781	0.357258	0.357657
0.782	0.357358	0.357757
0.783	0.357458	0.357857
0.784	0.357557	0.357956
0.785	0.357656	0.358054
0.786	0.357754	0.358152
0.787	0.357851	0.358249
0.788	0.357948	0.358346
0.789	0.358044	0.358442
0.79	0.35814	0.358537
0.791	0.358235	0.358632
0.792	0.358329	0.358727
0.793	0.358423	0.358821
0.794	0.358516	0.358914
0.795	0.358609	0.359007
0.796	0.358701	0.359099
0.797	0.358793	0.359191
0.798	0.358885	0.359282
0.799	0.358975	0.359373
0.8	0.359066	0.359463
0.801	0.359156	0.359553
0.802	0.359245	0.359642
0.803	0.359334	0.35973
0.804	0.359422	0.359818
0.805	0.359509	0.359906
0.806	0.359596	0.359993
0.807	0.359683	0.360079
0.808	0.359769	0.360165
0.809	0.359854	0.36025
0.81	0.359939	0.360335
0.811	0.360023	0.360419
0.812	0.360107	0.360503
0.813	0.36019	0.360586
